"","X","No.","Player","Pos","Ht","Wt","Birth.Date","Exp","College","Team","Longitude","Latitude"
"1",1,"19","Furkan Aldemir","PF","6-10",240,"August 9 1991","R","No college / university","76ers",NA,NA
"2",2,"0","Isaiah Canaan","PG","6-0",201,"May 21 1991","1","Murray State University","76ers",-88.323493,36.61241
"3",3,"1","Michael Carter-Williams","PG","6-6",190,"October 10 1991","1","Syracuse University","76ers",-76.136738,43.040525
"4",4,"33","Robert Covington","SF","6-9",215,"December 14 1990","1","Tennessee State University","76ers",-86.82937,36.16899
"5",5,"0","Brandon Davies","PF","6-10",240,"July 25 1991","1","Brigham Young University","76ers",-111.649281,40.250851
"6",6,"7","Larry Drew","PG","6-2",180,"March 5 1990","R","University of California Los Angeles","76ers",-118.443901,34.068892
"7",7,"20","Tim Frazier","PG","6-1",170,"November 1 1990","R","Pennsylvania State University","76ers",-77.861644,40.800732
"8",8,"30","Drew Gordon","PF","6-9",245,"July 12 1990","R","University of New Mexico","76ers",-106.620155,35.083868
"9",9,"39","Jerami Grant","SF","6-8",210,"March 12 1994","R","Syracuse University","76ers",-76.136738,43.040525
"10",10,"16","Chris Johnson","SF","6-6",206,"April 29 1990","2","University of Dayton","76ers",-84.173662,39.73686
"11",11,"11","Malcolm Lee","SG","6-5",200,"May 22 1990","2","University of California Los Angeles","76ers",-118.443901,34.068892
"12",12,"12","Luc Mbah a Moute","PF","6-8",230,"September 9 1986","6","University of California Los Angeles","76ers",-118.443901,34.068892
"13",13,"14","K.J. McDaniels","SG","6-6",205,"February 9 1993","R","Clemson University","76ers",-82.834463,34.677329
"14",14,"1","JaVale McGee","C","7-0",270,"January 19 1988","6","University of Nevada Reno","76ers",-119.821651,39.549352
"15",15,"4","Nerlens Noel","C","6-11",228,"April 10 1994","R","University of Kentucky","76ers",-84.509177,38.032393
"16",16,"23","Jason Richardson","SG","6-6",220,"January 20 1981","12","Michigan State University","76ers",-84.473639,42.72476
"17",17,"1","Glenn Robinson III","SF","6-7",222,"January 8 1994","R","University of Michigan","76ers",-83.74313,42.276172
"18",18,"41","Thomas Robinson","PF","6-10",237,"March 17 1991","2","University of Kansas","76ers",-95.24587,38.957351
"19",19,"9","JaKarr Sampson","SF","6-9",214,"March 20 1993","R","St. John's University","76ers",-73.795301,40.721979
"20",20,"88","Alexey Shved","SG","6-6",190,"December 16 1988","2","No college / university","76ers",NA,NA
"21",21,"35","Henry Sims","C","6-10",248,"March 27 1990","2","Georgetown University","76ers",-77.073463,38.908809
"22",22,"5","Ish Smith","PG","6-0",175,"July 5 1988","4","Wake Forest University","76ers",-80.279004,36.135301
"23",23,"11","Malcolm Thomas","PF","6-9",225,"November 8 1988","3","San Diego State University","76ers",-117.071228,32.77525
"24",24,"31","Hollis Thompson","SG","6-8",206,"April 3 1991","1","Georgetown University","76ers",-77.073463,38.908809
"25",25,"8","Tony Wroten","SG","6-6",205,"April 13 1993","2","University of Washington","76ers",-122.313115,47.656213
"26",26,"34","Giannis Antetokounmpo","SG","6-11",222,"December 6 1994","1","No college / university","Bucks",NA,NA
"27",27,"19","Jerryd Bayless","PG","6-3",200,"August 20 1988","6","University of Arizona","Bucks",-110.950769,32.232071
"28",29,"9","Jared Dudley","SG","6-7",225,"July 10 1985","7","Boston College","Bucks",-71.171488,42.337688
"29",30,"11","Tyler Ennis","PG","6-3",194,"August 24 1994","R","Syracuse University","Bucks",-76.136738,43.040525
"30",31,"13","Jorge Gutierrez","PG","6-3",191,"December 27 1988","1","University of California","Bucks",-122.260401,37.871519
"31",32,"31","John Henson","C","6-11",229,"December 28 1990","2","University of North Carolina","Bucks",-79.050969,35.912165
"32",33,"7","Ersan Ilyasova","PF","6-10",235,"May 15 1987","6","No college / university","Bucks",NA,NA
"33",35,"11","Brandon Knight","PG","6-3",189,"December 2 1991","3","University of Kentucky","Bucks",-84.509177,38.032393
"34",36,"5","Kendall Marshall","PG","6-4",200,"August 19 1991","2","University of North Carolina","Bucks",-79.050969,35.912165
"35",37,"6","Kenyon Martin","PF","6-9",234,"December 30 1977","14","University of Cincinnati","Bucks",-84.51428,39.131159
"36",38,"0","O.J. Mayo","SG","6-5",210,"November 5 1987","6","University of Southern California","Bucks",-118.283858,34.021058
"37",39,"22","Khris Middleton","SF","6-8",234,"August 12 1991","2","Texas A&amp;M University","Bucks",-96.340322,30.613226
"38",40,"3","Johnny O'Bryant","PF","6-9",257,"June 1 1993","R","Louisiana State University","Bucks",-91.196656,30.552111
"39",41,"27","Zaza Pachulia","C","6-11",270,"February 10 1984","11","No college / university","Bucks",NA,NA
"40",42,"12","Jabari Parker","SF","6-8",250,"March 15 1995","R","Duke University","Bucks",-78.94226,36.00159
"41",43,"21","Miles Plumlee","C","6-11",249,"September 1 1988","2","Duke University","Bucks",-78.94226,36.00159
"42",44,"8","Larry Sanders","C","6-11",235,"November 21 1988","4","Virginia Commonwealth University","Bucks",-77.453597,37.547631
"43",45,"6","Nate Wolters","PG","6-4",190,"May 15 1991","1","South Dakota State University","Bucks",-96.783415,44.31942
"44",46,"41","Cameron Bairstow","PF","6-9",250,"December 7 1990","R","University of New Mexico","Bulls",-106.620155,35.083868
"45",47,"0","Aaron Brooks","PG","6-0",161,"January 14 1985","6","University of Oregon","Bulls",-123.07398,44.044515
"46",48,"21","Jimmy Butler","SG","6-7",220,"September 14 1989","3","Marquette University","Bulls",-87.928121,43.038766
"47",49,"34","Mike Dunleavy","SF","6-9",230,"September 15 1980","12","Duke University","Bulls",-78.94226,36.00159
"48",50,"16","Pau Gasol","PF","7-0",250,"July 6 1980","13","No college / university","Bulls",NA,NA
"49",51,"22","Taj Gibson","PF","6-9",225,"June 24 1985","5","University of Southern California","Bulls",-118.283858,34.021058
"50",52,"12","Kirk Hinrich","SG","6-4",190,"January 2 1981","11","University of Kansas","Bulls",-95.24587,38.957351
"51",53,"3","Doug McDermott","SF","6-8",225,"January 3 1992","R","Creighton University","Bulls",-95.947029,41.265325
